Height,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
82.5,-0.3833,10.7874,0.08908,9.170552622,9.646983996,9.851752693,10.16526646,10.7874,11.46346481,11.85058804,12.12309665,12.82686127,14.42971209
83,-0.3833,10.9051,0.08905,9.271102935,9.752600287,9.959543045,10.27638169,10.9051,11.58830126,11.97950221,12.25487755,12.96603177,14.58564117
83.5,-0.3833,11.0248,0.08902,9.373364309,9.860013048,10.0691665,10.38938605,11.0248,11.71525779,12.11060503,12.3888953,13.10756329,14.74421257
84,-0.3833,11.1462,0.08899,9.477081941,9.968954163,10.18034923,10.50399693,11.1462,11.84401548,12.24356676,12.52481252,13.25109875,14.90502429
84.5,-0.3833,11.2691,0.08897,9.581916645,10.07912116,10.29280566,10.61995592,11.2691,11.97444438,12.37830054,12.66257396,13.39666927,15.06832872
85,-0.3833,11.3934,0.08896,9.687777963,10.19042062,10.40644115,10.73716655,11.3934,12.10644087,12.51470074,12.80207264,13.5441645,15.2340086
85.5,-0.3833,11.5186,0.08895,9.794408302,10.3025278,10.52090096,10.85522689,11.5186,12.23939185,12.65208657,12.94257884,13.69272368,15.40088036
86,-0.3833,11.6444,0.08895,9.901377601,10.41504651,10.63580462,10.97378188,11.6444,12.37306395,12.79026591,13.08393078,13.8422683,15.56908056
86.5,-0.3833,11.7705,0.08895,10.00860199,10.52783355,10.7509823,11.0926196,11.7705,12.50705483,12.92877477,13.2256198,13.99216954,15.73768187
87,-0.3833,11.8965,0.08896,10.11556257,10.64040049,10.86595986,11.21128915,11.8965,12.64102671,13.06731418,13.3673756,14.14223612,15.90669891
87.5,-0.3833,12.0223,0.08897,10.2223493,10.75278578,10.98075245,11.32976866,12.0223,12.77478793,13.20563688,13.50891046,14.29207097,16.07546018
88,-0.3833,12.1478,0.08899,10.32869462,10.86476659,11.09515767,11.44788842,12.1478,12.90832134,13.34377639,13.65029495,14.44184542,16.24439308
88.5,-0.3833,12.2729,0.08901,10.43469233,10.97638415,11.20919297,11.5656281,12.2729,13.04143337,13.48148244,13.79123752,14.59115635,16.41281434
