Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
65.5,-0.3521,7.3854,0.08218,6.353467045,6.659823099,6.790897995,6.990901213,7.3854,7.810607073,8.052498973,8.222097661,8.657566,9.636328233
66,-0.3521,7.5034,0.08215,6.455324797,6.766481059,6.899607639,7.102739091,7.5034,7.935237041,8.18089529,8.353132451,8.795367153,9.789295682
66.5,-0.3521,7.6206,0.08213,6.556388193,6.872340538,7.00751768,7.213776383,7.6206,8.059071278,8.308499938,8.48337911,8.93239181,9.941525666
67,-0.3521,7.737,0.08212,6.656651749,6.977397556,7.114624816,7.324010856,7.737,8.182112373,8.435317061,8.612842906,9.068648253,10.09303388
67.5,-0.3521,7.8526,0.08212,6.756110058,7.08164819,7.220925789,7.433440306,7.8526,8.304362882,8.56135075,8.741529043,9.204144664,10.24383583
68,-0.3521,7.9674,0.08214,6.854635528,7.184999787,7.326343667,7.542012664,7.9674,8.425883291,8.686697858,8.8695607,9.33907488,10.39429961
68.5,-0.3521,8.0816,0.08216,6.95263778,7.287805206,7.431205588,7.650014191,8.0816,8.546772507,8.81139614,8.996931213,9.473312498,10.54400096
69,-0.3521,8.1955,0.08219,7.050249194,7.390243689,7.535711606,7.75767756,8.1955,8.6674074,8.935868128,9.124095947,9.607400203,10.69369408
69.5,-0.3521,8.3092,0.08224,7.14742313,7.492309063,7.639873665,7.865043276,8.3092,8.787956658,9.060323631,9.251294412,9.741656958,10.84389265
70,-0.3521,8.4227,0.08229,7.244407677,7.594181479,7.743841351,7.97221258,8.4227,8.908302671,9.184574326,9.37828709,9.875705855,10.99388095
70.5,-0.3521,8.5358,0.08235,7.340899951,7.695585569,7.847351861,8.078942749,8.5358,9.02829599,9.30850154,9.504977744,10.00951142,11.14377603
71,-0.3521,8.648,0.08241,7.436597591,7.796163247,7.950022493,8.184812641,8.648,9.147347238,9.431463086,9.630686327,10.14229333,11.29255665
71.5,-0.3521,8.7594,0.08248,7.531452518,7.89590728,8.051864309,8.289862158,8.7594,9.265625821,9.553669933,9.755653831,10.2743729,11.44074112
72,-0.3521,8.8697,0.08254,7.625473997,7.994741322,8.152762704,8.393916475,8.8697,9.382687604,9.67459181,9.879287839,10.40499169,11.58716516
72.5,-0.3521,8.9788,0.08262,7.718168473,8.092279176,8.252379905,8.496714525,8.9788,9.498620283,9.794429523,10.00187114,10.53465289,11.73287731
73,-0.3521,9.0865,0.08269,7.809772396,8.18863722,8.35077842,8.598233794,9.0865,9.613018435,9.912654441,10.12278604,10.66250018,11.87643486
73.5,-0.3521,9.1927,0.08276,7.900064297,8.283626895,8.4477846,8.698324319,9.1927,9.725840598,10.02926051,10.24205219,10.78862255,12.01809921
74,-0.3521,9.2974,0.08283,7.989044667,8.377248554,8.543398737,8.796986297,9.2974,9.837086543,10.14424736,10.35966913,10.91301927,12.157869
74.5,-0.3521,9.401,0.08289,8.077201668,8.469967567,8.638075559,8.894657216,9.401,9.947110842,10.25794147,10.47594267,11.03593955,12.2958484
75,-0.3521,9.5032,0.08295,8.16413702,8.561411548,8.731454625,8.99099583,9.5032,10.05566283,10.37012241,10.59067454,11.15724543,12.43205224
75.5,-0.3521,9.6041,0.08301,8.249937012,8.651670865,8.823628042,9.086096905,9.6041,10.16284813,10.48089904,10.70397582,11.27705372,12.56661028
76,-0.3521,9.7033,0.08307,8.334258443,8.740385473,8.914228556,9.179582176,9.7033,10.2682433,10.58983452,10.81540032,11.39489416,12.698998
76.5,-0.3521,9.8007,0.08311,8.417316004,8.827683725,9.00334572,9.271479887,9.8007,10.37159955,10.69659071,10.9245452,11.5101904,12.82821145
77,-0.3521,9.8963,0.08314,8.49896738,8.913462221,9.090893658,9.361731893,9.8963,10.47298452,10.80127593,11.03154829,11.62315947,12.95466337
77.5,-0.3521,9.9902,0.08317,8.579150121,8.997703242,9.176874707,9.450372176,9.9902,10.57257457,10.90411235,11.13666482,11.73414524,13.07891539
78,-0.3521,10.0827,0.08318,8.658430759,9.080901474,9.261750904,9.537810784,10.0827,10.67054024,11.00519196,11.23992969,11.84302828,13.20046254
78.5,-0.3521,10.1741,0.08318,8.736919712,9.163220138,9.345708974,9.624271346,10.1741,10.76726903,11.10495438,11.34182001,11.95038572,13.32012516
79,-0.3521,10.2649,0.08316,8.815207697,9.245226808,9.429305594,9.710292785,10.2649,10.86321334,11.20382239,11.44273674,12.05655843,13.43808904
79.5,-0.3521,10.3558,0.08313,8.893745681,9.327442807,9.513093131,9.796475893,10.3558,10.95918543,11.30267451,11.54360586,12.16259805,13.55570718
