Months,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
1.149897331,0.3124,14.8157,0.0952,12.32257874,13.08279331,13.40283567,13.88519593,14.8157,15.78820764,16.32774409,16.70024775,17.63544035,19.63146971
1.18275154,0.3058,14.8657,0.09513,12.36729842,13.12884711,13.44952385,13.93292135,14.8657,15.84096608,16.38219881,16.75594195,17.6944897,19.69881994
1.215605749,0.2993,14.9142,0.09506,12.41076368,13.17357593,13.49485615,13.97924303,14.9142,15.89211898,16.4349875,16.80992767,17.75172164,19.76411145
1.248459959,0.2929,14.9614,0.09499,12.45313999,13.21715584,13.53901308,14.02434816,14.9614,15.94187956,16.48633069,16.86243041,17.80737409,19.82760797
1.281314168,0.2867,15.0073,0.09492,12.49440515,13.25957603,13.58198739,14.06823355,15.0073,15.99024475,16.53622076,16.91343827,17.86142026,19.88923147
1.314168377,0.2806,15.052,0.09485,12.53466292,13.3009346,13.62387602,14.11099566,15.052,16.03732439,16.5847757,16.96307594,17.91400554,19.9491895
1.347022588,0.2747,15.0955,0.09479,12.57364254,13.34104392,13.66452622,14.15253415,15.0955,16.083222,16.63215571,17.01154245,17.96542512,20.00797583
1.379876797,0.2688,15.138,0.09472,12.61204942,13.38045425,13.70442311,14.19323632,15.138,16.12794428,16.67826158,17.05866604,18.01532743,20.06486709
1.412731006,0.263,15.1794,0.09466,12.64928051,13.41871238,13.7431776,14.23281072,15.1794,16.17159513,16.72331174,17.10474475,18.06421206,20.1207996
1.445585216,0.2574,15.2198,0.0946,12.68564579,13.45607289,13.78101864,14.27144512,15.2198,16.21417133,16.76724078,17.14966823,18.11184873,20.17525433
1.478439425,0.2519,15.2591,0.09454,12.72108272,13.49245731,13.81786225,14.30904857,15.2591,16.25556963,16.80994636,17.19333586,18.15814515,20.22817538
1.511293634,0.2464,15.2974,0.09448,12.75569544,13.52796403,13.85380556,14.34571764,15.2974,16.29589988,16.85154654,17.23587252,18.20324734,20.27977306
1.544147844,0.2411,15.3347,0.09442,12.78944066,13.56257206,13.88883458,14.38144623,15.3347,16.33515568,16.89202574,17.27725397,18.24710095,20.32988914
1.577002053,0.2358,15.3709,0.09436,12.82227717,13.59621325,13.9228722,14.41614635,15.3709,16.37323707,16.93128955,17.31739191,18.28964123,20.37854791
1.609856263,0.2306,15.4063,0.09431,12.85418125,13.62896263,13.95603506,14.4499973,15.4063,16.41056953,16.96983267,17.35682863,18.33152914,20.42665892
1.642710473,0.2255,15.4408,0.09425,12.88557281,13.66109051,13.98852806,14.48310282,15.4408,16.44682872,17.00720148,17.39501931,18.37198416,20.47290798
1.675564682,0.2205,15.4744,0.0942,12.91594689,13.69223696,14.02005474,14.51526475,15.4744,16.48223313,17.04374049,17.43239739,18.41166964,20.51847935
1.708418891,0.2156,15.5072,0.09415,12.94563863,13.72266987,14.05085349,14.54667569,15.5072,16.51678026,17.07938787,17.46885912,18.45037319,20.56291323
1.741273101,0.2107,15.5393,0.0941,12.97475253,13.75248786,14.08102164,14.57743233,15.5393,16.55057991,17.11426171,17.50452945,18.48824122,20.60642183
1.77412731,0.2059,15.5706,0.09404,13.00343719,13.78177299,14.11061076,14.60753761,15.5706,16.58341195,17.14806977,17.53906416,18.52479099,20.64818964
1.806981519,0.2012,15.6012,0.09399,13.03126847,13.81025158,14.13941306,14.63688575,15.6012,16.6156035,17.18127026,17.57301399,18.56081275,20.68955058
1.839835729,0.1966,15.6311,0.09394,13.05849955,13.83810428,14.16757738,14.66557631,15.6311,16.64704444,17.21368941,17.60616018,18.59597116,20.72990386
1.872689938,0.192,15.6604,0.09389,13.08523504,13.86542979,14.19520111,14.69370603,15.6604,16.67784461,17.24544534,17.63862777,18.63041286,20.76946268
1.905544148,0.1875,15.689,0.09385,13.11111472,13.89194689,14.22203644,14.72107752,15.689,16.70800562,17.27659585,17.67051323,18.66433088,20.80862264
1.938398358,0.183,15.717,0.0938,13.136753,13.91811836,14.24848085,14.74798833,15.717,16.7374148,17.30690777,17.70149921,18.69719325,20.84637956
1.971252567,0.1787,15.7444,0.09375,13.16185219,13.94374141,14.27437048,14.77433207,15.7444,16.76617672,17.33654062,17.73178183,18.72928305,20.88317745
2.004106776,0.1743,15.7713,0.09371,13.18630383,13.96875268,14.29966581,14.80011056,15.7713,16.79451986,17.36580551,17.76173401,18.76114529,20.92000948
2.036960986,0.17,15.7975,0.09366,13.21040924,13.99331964,14.32447292,14.82533177,15.7975,16.82200081,17.39411267,17.79066022,18.79180233,20.95521724
2.069815195,0.1658,15.8232,0.09361,13.2340798,14.01743666,14.34882247,14.85008254,15.8232,16.8489444,17.42185895,17.81900819,18.82183349,20.98967897
2.102669404,0.1617,15.8483,0.09357,13.25697504,14.04083151,14.37247233,14.87416759,15.8483,16.87535686,17.44911235,17.84688968,18.85146449,21.02388212
2.135523614,0.1575,15.8729,0.09353,13.2794772,14.06379646,14.39567785,14.89778779,15.8729,16.90123906,17.4758217,17.8742189,18.88052734,21.0575072
2.168377823,0.1535,15.8968,0.09348,13.30161187,14.08630698,14.41838853,14.92084799,15.8968,16.92625506,17.50156398,17.90050783,18.90835336,21.08941613
2.201232033,0.1495,15.9202,0.09344,13.32307483,14.10819326,14.44049625,14.94333873,15.9202,16.95085043,17.52693264,17.92645685,18.93592856,21.12128595
2.234086243,0.1455,15.9431,0.0934,13.34412278,14.1296389,14.46215243,14.96536145,15.9431,16.97491232,17.55174932,17.95184116,18.96290741,21.15249421
