Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
26,-0.3005,11.8947,0.12441,9.487388404,10.179305,10.48122565,10.94869393,11.8947,12.94982529,13.56645436,14.00587277,15.16084287,17.89695196
27,-0.3032,12.1015,0.12472,9.647732949,10.35269132,10.66038197,11.13687816,12.1015,13.1779263,13.80726206,14.25584998,15.43536906,18.2321491
28,-0.3057,12.3059,0.12506,9.805451067,10.52349624,10.83698178,11.32255044,12.3059,13.40378507,14.04593513,14.50377597,15.70808924,18.56626478
29,-0.308,12.5073,0.12545,9.95969241,10.69092864,11.0102631,11.50499779,12.5073,13.62694849,14.28211604,14.74936557,15.97892473,18.89979816
30,-0.3101,12.7055,0.12587,10.11061534,10.85505505,11.18024946,11.68417381,12.7055,13.84702704,14.51529605,14.99202142,16.24703116,19.2312436
31,-0.312,12.9006,0.12633,10.25809967,11.01581165,11.34690344,11.86008405,12.9006,14.06423747,14.74576548,15.23208857,16.51290645,19.56151022
32,-0.3138,13.093,0.12683,10.40246353,11.17353374,11.51056943,12.03308884,13.093,14.27903593,14.97401925,15.47009228,16.77716649,19.8914925
33,-0.3155,13.2837,0.12737,10.54447622,11.32905543,11.67211016,12.20409575,13.2837,14.49252829,15.20122646,15.70724738,17.04114875,20.22283355
34,-0.3171,13.4731,0.12794,10.68461608,11.48283784,11.83197787,12.37354163,13.4731,14.70506493,15.42770457,15.94384615,17.30507299,20.55554702
35,-0.3186,13.6618,0.12855,10.82315055,11.63523578,11.99056761,12.54188632,13.6618,14.91741607,15.65432991,16.18084344,17.57011181,20.89138507
36,-0.3201,13.8503,0.12919,10.96066915,11.78681265,12.14843137,12.7096643,13.8503,15.13004574,15.88154711,16.41867097,17.83666691,21.23070597
37,-0.3216,14.0385,0.12988,11.09668693,11.93717795,12.30522403,12.8766056,14.0385,15.34307113,16.10961346,16.65769167,18.10540175,21.57501349
38,-0.323,14.2265,0.13059,11.23180786,12.0868166,12.46137196,13.04303812,14.2265,15.55629376,16.33813489,16.89736272,18.37534591,21.92211879
39,-0.3243,14.414,0.13135,11.36518812,12.23501743,12.61622796,13.20842085,14.414,15.76972252,16.56731988,17.13804325,18.64728727,22.27400927
40,-0.3257,14.601,0.13213,11.49745987,12.38223952,12.77017314,13.37301162,14.601,15.98305922,16.7966919,17.37912823,18.92027864,22.62891506
41,-0.327,14.7873,0.13293,11.62839258,12.5282724,12.92300305,13.53661185,14.7873,16.1960803,17.02600253,17.62034633,19.19396776,22.98616806
42,-0.3283,14.9727,0.13376,11.75764708,12.67280148,13.07441769,13.69894879,14.9727,16.40869523,17.25523923,17.86174699,19.46859251,23.34660296
43,-0.3296,15.1573,0.1346,11.88570013,12.81621019,13.22475586,13.86028766,15.1573,16.62079482,17.48415884,18.10298648,19.74352502,23.70881025
44,-0.3309,15.341,0.13545,12.01247141,12.95841192,13.37392838,14.02053546,15.341,16.83227274,17.71265215,18.34395392,20.01865183,24.0726823
45,-0.3322,15.524,0.1363,12.13832614,13.09973237,13.52224162,14.17996623,15.524,17.04323314,17.94076107,18.58464417,20.29383361,24.43770439
46,-0.3335,15.7064,0.13716,12.26313392,13.24009817,13.66964945,14.3385788,15.7064,17.25390499,18.16879779,18.8254322,20.56962433,24.80493544
47,-0.3348,15.8882,0.138,12.38753541,13.37999255,13.81655955,14.49665579,15.8882,17.46392729,18.39616838,19.06554842,20.8447546,25.17170728
48,-0.3361,16.0697,0.13884,12.51134689,13.51935287,13.96296671,14.65428633,16.0697,17.67386637,18.62360988,19.30585819,21.12045359,25.54026263
49,-0.3374,16.2511,0.13968,12.63472631,13.6583488,14.10904578,14.81165342,16.2511,17.88394214,18.85135439,19.54660258,21.39698717,25.91093485
50,-0.3387,16.4322,0.14051,12.75774043,13.79698012,14.25476484,14.9686731,16.4322,18.0938085,19.07896243,19.78727206,21.67364779,26.28246948
51,-0.34,16.6133,0.14132,12.88085229,13.93567299,14.40053141,15.12572104,16.6133,18.30366371,19.30656441,20.02794491,21.95036209,26.65434993
52,-0.3414,16.7942,0.14213,13.00351317,14.07395197,14.54590874,15.28242855,16.7942,18.51354573,19.53436224,20.2689513,22.22784317,27.02847049
53,-0.3427,16.9748,0.14293,13.12579195,14.21186332,14.69092689,15.43879273,16.9748,18.72319608,19.76197928,20.50981846,22.50531725,27.40304992
54,-0.344,17.1551,0.14371,13.24796516,14.34960723,14.83575181,15.59492559,17.1551,18.93248668,19.98921161,20.75028828,22.78238366,27.77735764
55,-0.3453,17.3347,0.14448,13.36950814,14.48668572,14.97989948,15.75036749,17.3347,19.14110022,20.21579824,20.99014342,23.05895407,28.15169415
56,-0.3466,17.5136,0.14525,13.49019816,14.62292969,15.12322684,15.9050188,17.5136,19.34916643,20.44195377,21.22966316,23.33549427,28.52706476
57,-0.3479,17.6916,0.146,13.61035199,14.75852974,15.26586375,16.05890863,17.6916,19.55619012,20.66699121,21.46801506,23.61075492,28.90103134
58,-0.3492,17.8686,0.14675,13.72943679,14.89305615,15.4074309,16.21174208,17.8686,19.76232668,20.89123382,21.70565046,23.88555779,29.27549138
59,-0.3505,18.0445,0.14748,13.84785457,15.02678974,15.54815034,16.36364331,18.0445,19.96718492,21.11410009,21.94184314,24.15875988,29.64810254
60,-0.3518,18.2193,0.14821,13.96514219,15.15937831,15.68772391,16.51440449,18.2193,20.17103647,21.33603996,22.17717898,24.43134006,30.02098471
61,-0.4681,18.2579,0.14295,14.17328846,15.31500521,15.82121045,16.61477014,18.2579,20.15111828,21.28801484,22.11222897,24.33569635,29.94875183
62,-0.4711,18.4329,0.1435,14.29733077,15.45246678,15.96482773,16.76829059,18.4329,20.35247491,21.50601401,22.34267114,24.60126766,30.31286376
63,-0.4742,18.6073,0.14404,14.42100252,15.58947451,16.10795859,16.92127946,18.6073,20.55319949,21.72338835,22.572507,24.86634164,30.67717734
64,-0.4773,18.7811,0.14459,14.54378314,15.72564085,16.25027778,17.07351293,18.7811,20.75357073,21.94059368,22.80232498,25.13188107,31.04369511
65,-0.4803,18.9545,0.14514,14.66602168,15.86129237,16.39209714,17.22527392,18.9545,20.95365472,22.15759596,23.03200923,25.39751105,31.41114318
66,-0.4834,19.1276,0.14569,14.78788912,15.99656242,16.53353756,17.37666923,19.1276,21.15358305,22.37456703,23.26177109,25.66359375,31.78056484
