Month,L,M,S,SD,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
0,1,33.8787,0.03496,1.1844,31.7,32.4,32.7,33.1,33.9,34.7,35.1,35.4,36.1,37.5
0.229979466,1,34.5529,0.03374,1.16581,32.4,33.1,33.3,33.8,34.6,35.3,35.8,36,36.7,38.2
0.459958932,1,35.2272,0.03251,1.14524,33.1,33.8,34,34.5,35.2,36,36.4,36.7,37.4,38.8
0.689938398,1,35.843,0.03231,1.15809,33.7,34.4,34.6,35.1,35.8,36.6,37,37.3,38,39.4
0.919917864,1,36.3761,0.03215,1.16949,34.2,34.9,35.2,35.6,36.4,37.2,37.6,37.9,38.6,40
1,1,36.5463,0.0321,1.17314,34.3,35,35.3,35.8,36.5,37.3,37.8,38,38.8,40.2
1.149897331,1,36.8472,0.03202,1.17985,34.6,35.3,35.6,36.1,36.8,37.6,38.1,38.4,39.1,40.5
1.379876797,1,37.2711,0.03191,1.18932,35,35.7,36,36.5,37.3,38.1,38.5,38.8,39.5,40.9
1.609856263,1,37.6584,0.03182,1.19829,35.4,36.1,36.4,36.9,37.7,38.5,38.9,39.2,39.9,41.4
1.839835729,1,38.0167,0.03173,1.20627,35.7,36.5,36.8,37.2,38,38.8,39.3,39.6,40.3,41.7
2,1,38.2521,0.03168,1.21183,36,36.7,37,37.4,38.3,39.1,39.5,39.8,40.5,42
2.069815195,1,38.3516,0.03166,1.21421,36.1,36.8,37.1,37.5,38.4,39.2,39.6,39.9,40.6,42.1
2.299794661,1,38.6673,0.03158,1.22111,36.4,37.1,37.4,37.8,38.7,39.5,39.9,40.2,41,42.4
2.529774127,1,38.9661,0.03152,1.22821,36.7,37.4,37.7,38.1,39,39.8,40.2,40.5,41.3,42.8
2.759753593,1,39.2501,0.03146,1.23481,36.9,37.7,38,38.4,39.3,40.1,40.5,40.8,41.6,43.1
2.98973306,1,39.521,0.0314,1.24096,37.2,37.9,38.2,38.7,39.5,40.4,40.8,41.1,41.9,43.4
3,1,39.5328,0.0314,1.24133,37.2,37.9,38.2,38.7,39.5,40.4,40.8,41.1,41.9,43.4
4,1,40.5817,0.03119,1.26574,38.2,39,39.3,39.7,40.6,41.4,41.9,42.2,43,44.5
5,1,41.459,0.03102,1.28606,39,39.8,40.1,40.6,41.5,42.3,42.8,43.1,43.9,45.4
6,1,42.1995,0.03087,1.3027,39.7,40.5,40.8,41.3,42.2,43.1,43.5,43.9,44.6,46.2
7,1,42.829,0.03075,1.31699,40.4,41.1,41.5,41.9,42.8,43.7,44.2,44.5,45.3,46.9
