Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
65.5,-0.3833,7.195,0.09115,6.094272243,6.418038371,6.557344144,6.770803786,7.195,7.656860605,7.921733973,8.108360436,8.590979887,9.69352505
66,-0.3833,7.3076,0.0911,6.190192337,6.518878915,6.660298066,6.8769918,7.3076,7.776420023,8.045274592,8.2347019,8.724548447,9.843521246
66.5,-0.3833,7.4189,0.09106,6.284917092,6.618490866,6.762009733,6.98191736,7.4189,7.894642356,8.167458586,8.359673711,8.856716431,9.992060581
67,-0.3833,7.5288,0.09101,6.37858169,6.716945962,6.862522084,7.08557757,7.5288,8.011313079,8.288001746,8.482940848,8.987011007,10.13832217
67.5,-0.3833,7.6375,0.09096,6.471246032,6.814342455,6.961950621,7.188115213,7.6375,8.126698875,8.407210992,8.604839438,9.115847027,10.28291727
68,-0.3833,7.7448,0.0909,6.562856218,6.91058647,7.060183486,7.289389977,7.7448,8.240530154,8.524774732,8.725027396,9.242800207,10.42521647
68.5,-0.3833,7.8509,0.09085,6.653351346,7.005687861,7.15726254,7.389494563,7.8509,8.353132928,8.641095427,8.843962837,9.368479263,10.56620719
69,-0.3833,7.9559,0.09079,6.743049155,7.099906371,7.253420992,7.488619707,7.9559,8.464499127,8.756098803,8.961523035,9.492629428,10.70529801
69.5,-0.3833,8.0599,0.09074,6.831797674,7.193158005,7.348605698,7.58676138,8.0599,8.574851428,8.870082179,9.078059733,9.615750025,10.8433609
70,-0.3833,8.163,0.09068,6.919921057,7.285707185,7.443053761,7.684112962,8.163,8.684178653,8.982966288,9.193443839,9.737576206,10.97978504
70.5,-0.3833,8.2651,0.09062,7.007215255,7.377377374,7.536601287,7.780530864,8.2651,8.792433006,9.094735433,9.307683195,9.858180137,11.11480745
71,-0.3833,8.3666,0.09056,7.094019162,7.468525441,7.629612879,7.87639154,8.3666,8.900040122,9.205829951,9.421228498,9.978039298,11.24896677
71.5,-0.3833,8.4676,0.0905,7.180417418,7.559240541,7.722179638,7.971789066,8.4676,9.007106454,9.316359995,9.534192509,10.0972732,11.38239796
72,-0.3833,8.5679,0.09043,7.266368578,7.649437881,7.814197257,8.066588256,8.5679,9.113356394,9.426004305,9.646220824,10.21543808,11.51443416
72.5,-0.3833,8.6674,0.09037,7.351532549,7.738841418,7.90541897,8.160589171,8.6674,9.218808826,9.534854527,9.757458308,10.33282372,11.64573412
73,-0.3833,8.7661,0.09031,7.4360359,7.827543747,7.995921906,8.253844262,8.7661,9.323401649,9.642810674,9.867777314,10.44922734,11.77590459
73.5,-0.3833,8.8638,0.09025,7.519708745,7.915366113,8.085523495,8.346165119,8.8638,9.426922264,9.74965293,9.976952945,10.56441091,11.90467764
74,-0.3833,8.9601,0.09018,7.602345693,8.002049295,8.17394046,8.437230589,8.9601,9.528879604,9.854835628,10.08440005,10.67768338,12.03110074
74.5,-0.3833,9.0552,0.09012,7.683849015,8.087576298,8.261192335,8.52711822,9.0552,9.62961746,9.958789781,10.19061313,10.78971103,12.15627183
75,-0.3833,9.149,0.09005,7.764403446,8.172054993,8.347352115,8.615845508,9.149,9.728897364,10.06119272,10.29520814,10.89994347,12.27922103
75.5,-0.3833,9.2418,0.08999,7.843990415,8.25555355,8.432527117,8.703581834,9.2418,9.827172186,10.16258983,10.39879772,11.00917496,12.40119738
76,-0.3833,9.3337,0.08992,7.922970183,8.338362702,8.516976317,8.790535416,9.3337,9.924413356,10.26287392,10.5012172,11.11708441,12.52148229
76.5,-0.3833,9.4252,0.08985,8.001629825,8.420828671,8.601072298,8.877120271,9.4252,10.02121982,10.3627031,10.60316741,11.22448699,12.64117202
